Elaborato,ID,Timestamp della richiesta,Metodo,URL,Codice,Ragione,RTT,Dimensione della intestazione della risposta,Dimensione del corpo della risposta,Massima allerta,Nota,Etichette
Fuori scopo,11752,Thu Sep 19 16:40:01 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,11753,Thu Sep 19 16:40:01 CEST 2024,GET,http://192.168.50.151/,200,OK,15,232,891,Medio,false,
Elaborato,11754,Thu Sep 19 16:40:01 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,4,222,294,Medio,false,
Elaborato,11755,Thu Sep 19 16:40:02 CEST 2024,GET,http://192.168.50.151/,200,OK,10,232,891,Medio,false,
Elaborato,11756,Thu Sep 19 16:40:04 CEST 2024,GET,http://192.168.50.151/twiki/,200,OK,10,296,782,Medio,false,
Fuori scopo,11757,Thu Sep 19 16:40:05 CEST 2024,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=115.15&pver=2.2,403,Forbidden,0,130,63,,false,
Elaborato,11758,Thu Sep 19 16:40:05 CEST 2024,GET,http://192.168.50.151/twiki/readme.txt,200,OK,2,299,4334,Basso,false,
Elaborato,11759,Thu Sep 19 16:40:05 CEST 2024,GET,http://192.168.50.151/,200,OK,16,232,891,Medio,false,
Elaborato,11760,Thu Sep 19 16:40:06 CEST 2024,GET,http://192.168.50.151/favicon.ico,404,Not Found,17,222,294,Medio,false,
Elaborato,11761,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/,200,OK,17,232,891,Medio,false,
Elaborato,11762,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/,200,OK,32,896,4145,Medio,false,
Elaborato,11763,Thu Sep 19 16:40:07 CEST 2024,GET,http://192.168.50.151/phpMyAdmin/phpmyadmin.css.php?lang=en-utf-8&convcharset=utf-8&token=35064113d06498e1c45d003e60ee00df&js_frame=right&nocache=2457687151,200,OK,31,490,21389,Basso,false,
